year,sex,name,n,rank
1997,B,Matthew,410,1
1997,B,Ryan,381,2
1997,B,James,352,3
1997,B,Conor,312,4
1997,B,Andrew,275,5
1997,B,Jordan,266,6
1997,B,Michael,263,7
1997,B,Jack,259,8
1997,B,David,246,9
1997,B,Adam,236,10
1997,B,Aaron,221,11
1997,B,Daniel,208,12
1997,B,Christopher,204,13
1997,B,Mark,200,14
1997,B,Sean,186,15
1997,B,Thomas,186,15
1997,B,John,182,17
1997,B,Jamie,165,18
1997,B,Patrick,164,19
1997,B,Nathan,154,20
1997,B,Jonathan,145,21
1997,B,Joshua,137,22
1997,B,Dylan,135,23
1997,B,Peter,135,23
1997,B,Stephen,135,23
1997,B,William,131,26
1997,B,Paul,123,27
1997,B,Caolan,117,28
1997,B,Ciaran,113,29
1997,B,Ross,106,30
1997,B,Luke,105,31
1997,B,Kyle,102,32
1997,B,Niall,102,32
1997,B,Callum,99,34
1997,B,Robert,96,35
1997,B,Joseph,95,36
1997,B,Benjamin,92,37
1997,B,Scott,90,38
1997,B,Samuel,89,39
1997,B,Connor,87,40
1997,B,Ben,85,41
1997,B,Jason,82,42
1997,B,Lee,82,42
1997,B,Curtis,80,44
1997,B,Dean,77,45
1997,B,Shane,77,45
1997,B,Gareth,75,47
1997,B,Liam,74,48
1997,B,Martin,71,49
1997,B,Ronan,66,50
1997,B,Philip,65,51
1997,B,Darren,62,52
1997,B,Rory,59,53
1997,B,Declan,58,54
1997,B,Eoin,56,55
1997,B,Ruairi,52,56
1997,B,Gary,51,57
1997,B,Gerard,51,57
1997,B,Steven,50,59
1997,B,Alexander,49,60
1997,B,Brandon,49,60
1997,B,Aidan,48,62
1997,B,Ethan,48,62
1997,B,Jake,47,64
1997,B,Stuart,47,64
1997,B,Cameron,45,66
1997,B,Gavin,45,66
1997,B,Corey,43,68
1997,B,Craig,43,68
1997,B,Anthony,42,70
1997,B,Kevin,42,70
1997,B,Shea,42,70
1997,B,Brendan,41,73
1997,B,Cormac,41,73
1997,B,Brian,40,75
1997,B,Lewis,40,75
1997,B,Reece,40,75
1997,B,Cathal,39,78
1997,B,Owen,39,78
