year,sex,name,n,rank,nation
1997,M,Matthew,410,1,Northern Ireland
1997,M,Ryan,381,2,Northern Ireland
1997,M,James,352,3,Northern Ireland
1997,M,Conor,312,4,Northern Ireland
1997,M,Andrew,275,5,Northern Ireland
1997,M,Jordan,266,6,Northern Ireland
1997,M,Michael,263,7,Northern Ireland
1997,M,Jack,259,8,Northern Ireland
1997,M,David,246,9,Northern Ireland
1997,M,Adam,236,10,Northern Ireland
1997,M,Aaron,221,11,Northern Ireland
1997,M,Daniel,208,12,Northern Ireland
1997,M,Christopher,204,13,Northern Ireland
1997,M,Mark,200,14,Northern Ireland
1997,M,Sean,186,15,Northern Ireland
1997,M,Thomas,186,15,Northern Ireland
1997,M,John,182,17,Northern Ireland
1997,M,Jamie,165,18,Northern Ireland
1997,M,Patrick,164,19,Northern Ireland
1997,M,Nathan,154,20,Northern Ireland
1997,M,Jonathan,145,21,Northern Ireland
1997,M,Joshua,137,22,Northern Ireland
1997,M,Dylan,135,23,Northern Ireland
1997,M,Peter,135,23,Northern Ireland
1997,M,Stephen,135,23,Northern Ireland
1997,M,William,131,26,Northern Ireland
1997,M,Paul,123,27,Northern Ireland
1997,M,Caolan,117,28,Northern Ireland
1997,M,Ciaran,113,29,Northern Ireland
1997,M,Ross,106,30,Northern Ireland
1997,M,Luke,105,31,Northern Ireland
1997,M,Kyle,102,32,Northern Ireland
1997,M,Niall,102,32,Northern Ireland
1997,M,Callum,99,34,Northern Ireland
1997,M,Robert,96,35,Northern Ireland
1997,M,Joseph,95,36,Northern Ireland
1997,M,Benjamin,92,37,Northern Ireland
1997,M,Scott,90,38,Northern Ireland
1997,M,Samuel,89,39,Northern Ireland
1997,M,Connor,87,40,Northern Ireland
1997,M,Ben,85,41,Northern Ireland
1997,M,Jason,82,42,Northern Ireland
1997,M,Lee,82,42,Northern Ireland
1997,M,Curtis,80,44,Northern Ireland
1997,M,Dean,77,45,Northern Ireland
1997,M,Shane,77,45,Northern Ireland
1997,M,Gareth,75,47,Northern Ireland
1997,M,Liam,74,48,Northern Ireland
1997,M,Martin,71,49,Northern Ireland
1997,M,Ronan,66,50,Northern Ireland
1997,M,Philip,65,51,Northern Ireland
1997,M,Darren,62,52,Northern Ireland
1997,M,Rory,59,53,Northern Ireland
1997,M,Declan,58,54,Northern Ireland
1997,M,Eoin,56,55,Northern Ireland
1997,M,Ruairi,52,56,Northern Ireland
1997,M,Gary,51,57,Northern Ireland
1997,M,Gerard,51,57,Northern Ireland
1997,M,Steven,50,59,Northern Ireland
1997,M,Alexander,49,60,Northern Ireland
1997,M,Brandon,49,60,Northern Ireland
1997,M,Aidan,48,62,Northern Ireland
1997,M,Ethan,48,62,Northern Ireland
1997,M,Jake,47,64,Northern Ireland
1997,M,Stuart,47,64,Northern Ireland
1997,M,Cameron,45,66,Northern Ireland
1997,M,Gavin,45,66,Northern Ireland
1997,M,Corey,43,68,Northern Ireland
1997,M,Craig,43,68,Northern Ireland
1997,M,Anthony,42,70,Northern Ireland
1997,M,Kevin,42,70,Northern Ireland
1997,M,Shea,42,70,Northern Ireland
1997,M,Brendan,41,73,Northern Ireland
1997,M,Cormac,41,73,Northern Ireland
1997,M,Brian,40,75,Northern Ireland
1997,M,Lewis,40,75,Northern Ireland
1997,M,Reece,40,75,Northern Ireland
1997,M,Cathal,39,78,Northern Ireland
1997,M,Owen,39,78,Northern Ireland
